Output_Category_Name,Output_Standard_Code,Output_Standard_Name,Output_Indicator_Code,Output_Indicator_Name,Intermediate_Output_Indicator,SOAlign,Reporting_level,Ouptut or Other Output,APR_Include,Data_source,No_of_countries,No_of_measurements,Target,Actual,Progress
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.1.4,"Number of girls and boys receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers through emergency school‑based programmes (complementary with UNICEF, UNHCR, WFP)",N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,1,4,1000000,1061448,106%
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.1.7,"Number of people in emergency contexts receiving assistance unconditionally or to restore infrastructure and community assets (complementary with UNICEF, Office of the United Nations High Commissioner for Refugees (UNHCR), WFP)",N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,7,82,879935,704262,80%
Resources transferred,1.2,"Crisis-affected children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.1.8,"Number of women, men, boys and girls receiving food/cash-based/commodity vouchers/individual capacity strengthening transfers through actions to protect against climate shocks",N/A,FALSE,N/A,Output,ACR,Level2Beneficiary,1,4,21424,23903,112%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.1.2,"Number of nutritionally vulnerable people receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers through malnutrition treatment and prevention programmes (complementary with UNICEF, FAO, WHO)",N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,5,48,141265,78508,56%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.1.3,Number of girls and boys receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers through school-based programmes,N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,2,44,1018643,760001,75%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.1.5,Number of people receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers through livelihood skills training activities,N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,3,28,234050,32161,14%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.1.6,"Number of people receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers under food assistance for assets (complementary with ILO, UNDP, World Bank, UNHCR, UNICEF)",N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,4,48,278700,142859,51%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.1.7,"Number of people in emergency contexts receiving assistance unconditionally or to restore infrastructure and community assets (complementary with UNICEF, Office of the United Nations High Commissioner for Refugees (UNHCR), WFP)",N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,12,146,6019268,4880788,81%
Resources transferred,2.1,"Food-insecure populations have increased and sustained access to nutritious food, cash-based assistance, new or improved skills and services to meet their food and nutrition needs",A.1.8,"Number of women, men, boys and girls receiving food/cash-based/commodity vouchers/individual capacity strengthening transfers through actions to protect against climate shocks",N/A,FALSE,N/A,Output,ACR,Level2Beneficiary,5,52,408718,434124,106%
Resources transferred,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.1.2,"Number of nutritionally vulnerable people receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers through malnutrition treatment and prevention programmes (complementary with UNICEF, FAO, WHO)",N/A,TRUE,N/A,Output,APR & ACR,Level2Beneficiary,41,489,11823556,9372008,79%
Resources transferred,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.1.3,Number of girls and boys receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers through school-based programmes,N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,3,14,1231297,331700,27%
Resources transferred,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.1.5,Number of people receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers through livelihood skills training activities,N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,1,12,1000,1940,194%
Resources transferred,2.2,"Children, pregnant women and girls and new mothers, and other nutritionally vulnerable populations benefit from programmes to prevent and treat malnutrition and improve diets",A.1.7,"Number of people in emergency contexts receiving assistance unconditionally or to restore infrastructure and community assets (complementary with UNICEF, Office of the United Nations High Commissioner for Refugees (UNHCR), WFP)",N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,1,4,7860,1780,23%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.1.2,"Number of nutritionally vulnerable people receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers through malnutrition treatment and prevention programmes (complementary with UNICEF, FAO, WHO)",N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,1,2,2784,1026,37%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.1.3,Number of girls and boys receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers through school-based programmes,N/A,TRUE,N/A,Output,APR & ACR,Level2Beneficiary,37,260,14443834,13788448,95%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.1.4,"Number of girls and boys receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers through emergency school‑based programmes (complementary with UNICEF, UNHCR, WFP)",N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,1,10,363000,244971,67%
Resources transferred,2.3,School-age children and adolescents have access to school-based health and nutrition packages,A.1.6,"Number of people receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers under food assistance for assets (complementary with ILO, UNDP, World Bank, UNHCR, UNICEF)",N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,1,12,30000,12125,40%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.1.2,"Number of nutritionally vulnerable people receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers through malnutrition treatment and prevention programmes (complementary with UNICEF, FAO, WHO)",N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,2,6,65670,19197,29%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.1.3,Number of girls and boys receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers through school-based programmes,N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,2,6,10000,67585,676%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.1.5,Number of people receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers through livelihood skills training activities,N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,9,98,263250,109374,42%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.1.6,"Number of people receiving food/cash-based transfers/commodity vouchers/capacity strengthening transfers under food assistance for assets (complementary with ILO, UNDP, World Bank, UNHCR, UNICEF)",N/A,TRUE,N/A,Output,APR & ACR,Level2Beneficiary,33,377,9782809,4617734,47%
Resources transferred,3.1,People and communities have access to productive assets to better cope with shocks and stressors,A.1.7,"Number of people in emergency contexts receiving assistance unconditionally or to restore infrastructure and community assets (complementary with UNICEF, Office of the United Nations High Commissioner for Refugees (UNHCR), WFP)",N/A,FALSE,N/A,Output,APR & ACR,Level2Beneficiary,2,13,276836,121129,44%
